9716;FR;TRIESTE CENTRALE;MILANO CENTRALE;MONFALCONE;TRIESTE AEROPORTO;PORTOGRUARO CAORLE;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;DESENZANO;BRESCIA;;;;;;;;;;;;;
9717;FR;TORINO P.NUOVA;TRIESTE CENTRALE;TORINO PORTA SUSA ;MILANO CENTRALE;BRESCIA;PESCHIERA DEL GARDA;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;S. DONA` DI PIAVE;PORTOGRUARO CAORLE;LATISANA LIGNANO B.;CERVIGNANO A.G;TRIESTE AEROPORTO;MONFALCONE;;;;;;;;
9723;FR;TORINO P.NUOVA;VENEZIA SANTA LUCIA;TORINO PORTA SUSA ;MILANO CENTRALE;BRESCIA;DESENZANO;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;
9724;FR;VENEZIA SANTA LUCIA;MILANO CENTRALE;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;DESENZANO;BRESCIA;;;;;;;;;;;;;;;;
9726;FR;TRIESTE CENTRALE;TORINO P.NUOVA;MONFALCONE;PORTOGRUARO CAORLE;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;DESENZANO;BRESCIA;MILANO CENTRALE;TORINO PORTA SUSA ;;;;;;;;;;;;
9730;FR;VENEZIA SANTA LUCIA;MILANO CENTRALE;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;PESCHIERA DEL GARDA;BRESCIA;;;;;;;;;;;;;;;;
9731;FR;MILANO CENTRALE;VENEZIA SANTA LUCIA;BRESCIA;PESCHIERA DEL GARDA;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;;;
9732;FR;VENEZIA SANTA LUCIA;MILANO CENTRALE;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;DESENZANO;BRESCIA;;;;;;;;;;;;;;;;
9734;FR;VENEZIA SANTA LUCIA;TORINO P.NUOVA;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;PESCHIERA DEL GARDA;BRESCIA;MILANO CENTRALE;TORINO PORTA SUSA ;;;;;;;;;;;;;;
9737;FR;TORINO P.NUOVA;TRIESTE CENTRALE;TORINO PORTA SUSA ;MILANO CENTRALE;BRESCIA;PESCHIERA DEL GARDA;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;PORTOGRUARO CAORLE;MONFALCONE;;;;;;;;;;;;
9738;FR;VENEZIA SANTA LUCIA;TORINO P.NUOVA;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;DESENZANO;BRESCIA;MILANO CENTRALE;TORINO PORTA SUSA ;;;;;;;;;;;;;;
9739;FR;UDINE;MILANO CENTRALE;PORDENONE;CONEGLIANO;TREVISO C.;VENEZIA MESTRE;VENEZIA SANTA LUCIA;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;DESENZANO;BRESCIA;;;;;;;;;;;
9742;FR;MILANO CENTRALE;TORINO P.NUOVA;TORINO PORTA SUSA ;;;;;;;;;;;;;;;;;;;;;
9743;FR;TORINO P.NUOVA;VENEZIA SANTA LUCIA;TORINO PORTA SUSA ;MILANO CENTRALE;BRESCIA;DESENZANO;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;
9745;FR;MILANO CENTRALE;VENEZIA SANTA LUCIA;BRESCIA;DESENZANO;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;;;
9747;FR;TORINO P.NUOVA;TRIESTE CENTRALE;TORINO PORTA SUSA ;MILANO CENTRALE;BRESCIA;PESCHIERA DEL GARDA;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;PORTOGRUARO CAORLE;TRIESTE AEROPORTO;MONFALCONE;;;;;;;;;;;
9748;FR;VENEZIA SANTA LUCIA;MILANO CENTRALE;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;DESENZANO;BRESCIA;;;;;;;;;;;;;;;;
9749;FR;MILANO CENTRALE;VENEZIA SANTA LUCIA;BRESCIA;DESENZANO;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;;;
9751;FR;TORINO P.NUOVA;VENEZIA SANTA LUCIA;TORINO PORTA SUSA ;MILANO CENTRALE;BRESCIA;DESENZANO;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;
9753;FR;MILANO CENTRALE;UDINE;BRESCIA;PESCHIERA DEL GARDA;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;TREVISO C.;CONEGLIANO;PORDENONE;;;;;;;;;;;;;
9755;FR;MILANO CENTRALE;VENEZIA SANTA LUCIA;BRESCIA;DESENZANO;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;;;
9756;FR;VENEZIA SANTA LUCIA;MILANO CENTRALE;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;DESENZANO;BRESCIA;;;;;;;;;;;;;;;;
9757;FR;TORINO P.NUOVA;TRIESTE CENTRALE;TORINO PORTA SUSA ;MILANO CENTRALE;BRESCIA;VERONA PORTA NUOVA;VENEZIA MESTRE;CERVIGNANO A.G;MONFALCONE;;;;;;;;;;;;;;;
9758;FR;TRIESTE CENTRALE;MILANO CENTRALE;MONFALCONE;TRIESTE AEROPORTO;CERVIGNANO A.G;LATISANA LIGNANO B.;PORTOGRUARO CAORLE;S. DONA` DI PIAVE;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;PESCHIERA DEL GARDA;BRESCIA;;;;;;;;;;
9759;FR;MILANO CENTRALE;VENEZIA SANTA LUCIA;BRESCIA;PESCHIERA DEL GARDA;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;;;
9762;FR;VENEZIA SANTA LUCIA;TORINO P.NUOVA;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;DESENZANO;BRESCIA;MILANO CENTRALE;TORINO PORTA SUSA ;;;;;;;;;;;;;;
9790;FR;MILANO CENTRALE;TORINO P.NUOVA;TORINO PORTA SUSA ;;;;;;;;;;;;;;;;;;;;;
9791;FR;UDINE;MILANO CENTRALE;PORDENONE;CONEGLIANO;TREVISO C.;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;DESENZANO;BRESCIA;;;;;;;;;;;;;
9793;FR;TORINO P.NUOVA;VENEZIA SANTA LUCIA;TORINO PORTA SUSA ;MILANO CENTRALE;BRESCIA;DESENZANO;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;
9798;FR;VENEZIA SANTA LUCIA;MILANO CENTRALE;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;PESCHIERA DEL GARDA;BRESCIA;;;;;;;;;;;;;;;;
9802;FR;PESCARA;MILANO CENTRALE;ANCONA;PESARO;RIMINI;FORL�;BOLOGNA C.LE;REGGIO EMILIA AV;;;;;;;;;;;;;;;;
9803;FR;MILANO CENTRALE;ANCONA;BOLOGNA C.LE;RIMINI;RICCIONE;PESARO;;;;;;;;;;;;;;;;;;
9805;FR;TORINO P.NUOVA;LECCE;TORINO PORTA SUSA ;MILANO PORTA GARIBALDI;MILANO ROGOREDO;REGGIO EMILIA AV;BOLOGNA C.LE;RIMINI;PESARO;ANCONA;PESCARA;TERMOLI;FOGGIA;BARLETTA;BARI CENTRALE;BRINDISI;;;;;;;;
9806;FR;BARI CENTRALE;MILANO CENTRALE;FOGGIA;TERMOLI;PESCARA;ANCONA;RICCIONE;RIMINI;BOLOGNA C.LE;;;;;;;;;;;;;;;
9808;FR;LECCE;TORINO P.NUOVA;BRINDISI;BARI CENTRALE;BARLETTA;FOGGIA;TERMOLI;PESCARA;ANCONA;PESARO;RIMINI;BOLOGNA C.LE;REGGIO EMILIA AV;MILANO ROGOREDO;MILANO PORTA GARIBALDI;TORINO PORTA SUSA ;;;;;;;;
